Formula,tau_star,Bandgap_eV,BG_Deviation,HHI,Supply_Risk,CLS,bg_score,sr_score,cls_score,Composite_Score,Rank
GdInS3,0.7644409205375994,1.5790318250656128,0.2390318250656127,,,,0.1758705921114955,1.0,1.0,0.7252901973704985,82
SmDySe3,0.835303970733594,1.58741557598114,0.24741557598113983,,,,0.1822398792653836,1.0,1.0,0.7274132930884613,83
VCrSe3,0.7888710018549996,1.592432737350464,0.252432737350464,,,,0.18605150747101606,1.0,1.0,0.7286838358236721,84
CuPrSe3,0.8222221408473394,1.6195937395095823,0.2795937395095822,,,,0.2066862118988875,1.0,1.0,0.7355620706329624,85
PrInS3,0.7664684329127514,1.6203302145004272,0.28033021450042717,,,,0.20724572526535226,1.0,1.0,0.7357485750884507,86
SmTbSe3,0.8336685998483656,1.6209337711334229,0.28093377113342277,,,,0.20770425815211338,1.0,1.0,0.7359014193840379,87
SmTmSe3,0.7754421381890192,1.6241888999938965,0.2841888999938964,,,,0.21017723840214286,1.0,1.0,0.7367257461340476,88
BiCeS3,0.8104897118921861,1.6418263912200928,0.3018263912200927,,,,0.2235767593833507,1.0,1.0,0.7411922531277835,89
BiZrS3,0.8417691806627103,1.6423600912094116,0.30236009120941154,,,,0.2239822209148596,1.0,1.0,0.7413274069716199,90
CaSnS3,0.8339097137082838,1.6561648845672607,0.31616488456726066,,,,0.2344699720279543,1.0,1.0,0.7448233240093182,91
BiYbS3,0.8305885009976861,1.6681338548660278,0.32813385486602775,,,,0.24356301517025672,1.0,1.0,0.7478543383900856,92
SnRhS3,0.7232922406150561,1.6742339134216309,0.3342339134216308,,,,0.24819733994775098,1.0,1.0,0.749399113315917,93
BiHfS3,0.8417691806627103,1.674901008605957,0.33490100860595695,,,,0.24870414422077394,1.0,1.0,0.7495680480735913,94
EuCeS3,0.7969345298632439,1.6865291595458984,0.34652915954589836,,,,0.2575382607339533,1.0,1.0,0.7525127535779844,95
SmInS3,0.761309132109916,1.7258386611938477,0.3858386611938476,,,,0.28740239987581667,1.0,1.0,0.7624674666252722,96
BiLuS3,0.7681268421958312,1.7275456190109253,0.3875456190109252,,,,0.28869920659229553,1.0,1.0,0.7628997355307652,97
SmYSe3,0.7954934791431975,1.73099684715271,0.3909968471527099,,,,0.29132116701193234,1.0,1.0,0.7637737223373108,98
BiYS3,0.8098666393372831,1.7320083379745483,0.39200833797454826,,,,0.29208961487765783,1.0,1.0,0.764029871625886,99
EuLuS3,0.7545716601668887,1.737642526626587,0.39764252662658683,,,,0.29637000986620043,1.0,1.0,0.7654566699554001,100
CeLuS3,0.8054509442399544,1.740944743156433,0.400944743156433,,,,0.2988787634700262,1.0,1.0,0.7662929211566754,101
BaSnS3,0.8080012953984588,1.7556326389312744,0.41563263893127433,,,,0.31003742345634355,1.0,1.0,0.7700124744854479,102
TbInS3,0.7724763023385789,1.7564469575881958,0.4164469575881957,,,,0.31065607606338785,1.0,1.0,0.7702186920211292,103
BiTmS3,0.7890467432667239,1.777312994003296,0.4373129940032958,,,,0.32650838119868447,1.0,1.0,0.7755027937328949,104
PbCeS3,0.8194245289446542,1.77942955493927,0.43942955493926994,,,,0.3281163708104648,1.0,1.0,0.7760387902701549,105
CuTlSe3,0.84483023967232,1.7875311374664309,0.4475311374664308,,,,0.3342712895379334,1.0,1.0,0.7780904298459778,106
PbZrS3,0.8403798941206422,1.792490839958191,0.45249083995819084,,,,0.3380392651953886,1.0,1.0,0.7793464217317961,107
EuPrS3,0.7608582506486431,1.7957571744918823,0.45575717449188224,,,,0.3405207585979671,1.0,1.0,0.7801735861993224,108
LaInS3,0.7845939934812636,1.8025658130645752,0.4625658130645751,,,,0.3456934044260061,1.0,1.0,0.7818978014753354,109
MoNbS3,0.8368793677559636,1.8049298524856567,0.46492985248565666,,,,0.34748940791748545,1.0,1.0,0.7824964693058285,110
EuSnS3,0.8287504129054487,1.8129147291183472,0.4729147291183471,,,,0.3535556630668107,1.0,1.0,0.7845185543556035,111
CuZrS3,0.8107420988505747,1.813149690628052,0.4731496906280519,,,,0.35373416757398174,1.0,1.0,0.7845780558579939,112
MoTaSe3,0.822750137832205,1.8445148468017576,0.5045148468017575,,,,0.37756284382042016,1.0,1.0,0.7925209479401399,113
SnVS3,0.8179862593670659,1.8496403694152832,0.5096403694152831,,,,0.3814567960225102,1.0,1.0,0.7938189320075034,114
PbHfS3,0.8403798941206422,1.8512556552886963,0.5112556552886962,,,,0.38268395790590215,1.0,1.0,0.7942279859686341,115
EuTlS3,0.8006602885531621,1.858314514160156,0.518314514160156,,,,0.38804670061905094,1.0,1.0,0.796015566873017,116
CeTmS3,0.8263708453108471,1.859518885612488,0.5195188856124879,,,,0.3889616833871626,1.0,1.0,0.7963205611290541,117
GdTlS3,0.8037920769808452,1.871913194656372,0.531913194656372,,,,0.3983778640645159,1.0,1.0,0.7994592880215053,118
PbSnS3,0.8286838543574508,1.881245732307434,0.541245732307434,,,,0.4054679616560364,1.0,1.0,0.8018226538853455,119
SrZrS3,0.833198972604732,1.8862452507019043,0.5462452507019042,,,,0.40926618617467647,1.0,1.0,0.8030887287248921,120
MoTaS3,0.8112369371426262,1.890957713127136,0.5509577131271359,,,,0.41284632908333796,1.0,1.0,0.804282109694446,121
SmCeS3,0.7969345298632439,1.8935215473175049,0.5535215473175048,,,,0.41479412027345697,1.0,1.0,0.8049313734244857,122
SmHfS3,0.8404464526686398,1.9048599004745483,0.5648599004745483,,,,0.42340807217124693,1.0,1.0,0.807802690723749,123
PbPrS3,0.8406152159242932,1.9115606546401975,0.5715606546401975,,,,0.4284987562646386,1.0,1.0,0.8094995854215462,124
LaHfS3,0.8414247481344181,1.9259819984436035,0.5859819984436034,,,,0.43945491189883334,1.0,1.0,0.8131516372996112,125
NdHfS3,0.841649552117221,1.927181839942932,0.5871818399429318,,,,0.4403664531797438,1.0,1.0,0.8134554843932479,126
MgZrS3,0.8304414052949387,1.9351953268051147,0.5951953268051147,,,,0.44645444403770496,1.0,1.0,0.815484814679235,127
CuPrS3,0.8102893857425761,1.9394327402114868,0.5994327402114867,,,,0.44967368361756094,1.0,1.0,0.816557894539187,128
GdTbS3,0.7691601755331664,1.951707124710083,0.6117071247100829,,,,0.4589987554495497,1.0,1.0,0.8196662518165166,129
SmYS3,0.7963114573083409,1.972384452819824,0.6323844528198239,,,,0.47470769547330305,1.0,1.0,0.8249025651577676,130
